Layer,Neurons,Nonzero,Max,Mean,Std,Gini,Hot@80%,Hot@80% %,Hot@90%,Hot@90% %,Hot@95%,Hot@95% %
0,13824,13819,386173,38768.14105902778,57715.071664623894,0.6599679741308835,3914,28.313078703703702,5753,41.616030092592595,7575,54.79600694444444
1,13824,13824,371888,40880.64894386574,33212.97062395399,0.3682422945002504,7937,57.4146412037037,10264,74.24768518518519,11743,84.9464699074074
2,13824,13824,385738,40280.86089409722,25305.818368147033,0.2747843492432749,8964,64.84375,11042,79.87557870370371,12262,88.70081018518519
3,13824,13824,386362,38778.30570023148,33191.040248433856,0.35982092891714895,8118,58.723958333333336,10382,75.10127314814815,11792,85.30092592592592
4,13824,13824,379523,38796.13621238426,34223.319141453285,0.3949770642876426,7612,55.063657407407405,9900,71.61458333333333,11403,82.48697916666667
5,13824,13824,374913,39190.61451099537,38319.2252107638,0.43987781321068314,7074,51.171875,9418,68.12789351851852,11013,79.66579861111111
6,13824,13824,384241,38820.407913773146,38598.96211947572,0.4544389691913277,6845,49.515335648148145,9162,66.27604166666667,10773,77.9296875
7,13824,13824,374674,38773.2044994213,38669.29650833368,0.4479790636780634,6965,50.3833912037037,9307,67.32494212962963,10922,79.00752314814815
8,13824,13824,385699,38780.056351273146,45163.28284537151,0.5073891672369591,6251,45.218460648148145,8654,62.601273148148145,10372,75.02893518518519
9,13824,13824,386337,38771.0970775463,45195.85613173617,0.5061586014753858,6262,45.298032407407405,8683,62.81105324074074,10408,75.28935185185185
10,13824,13824,385644,38770.36704282407,44302.3990358177,0.501344526000008,6297,45.55121527777778,8711,63.01359953703704,10434,75.47743055555556
11,13824,13824,386648,38770.98083043982,46790.91058735851,0.5272866132564249,5959,43.106192129629626,8420,60.90856481481482,10222,73.94386574074075
12,13824,13824,385371,38771.2982494213,47097.89814312874,0.5330448084320349,5851,42.324942129629626,8333,60.27922453703704,10161,73.50260416666667
13,13824,13824,386381,38771.167100694445,46544.54448405322,0.5286577734432135,5921,42.831307870370374,8387,60.66984953703704,10202,73.79918981481481
14,13824,13824,386285,38771.65625,46976.1536844877,0.5378997610120964,5766,41.71006944444444,8234,59.5630787037037,10066,72.81539351851852
15,13824,13824,385840,38771.46730324074,44194.368886974065,0.5063362261100468,6236,45.1099537037037,8721,63.0859375,10476,75.78125
16,13824,13824,384493,38770.61487268518,45874.259845320856,0.5115071460815301,6252,45.22569444444444,8749,63.2884837962963,10496,75.92592592592592
17,13824,13824,358060,38790.80027488426,40614.84382557094,0.45336913598120504,7010,50.70891203703704,9369,67.7734375,10975,79.39091435185185
18,13824,13824,366869,38851.87181712963,36337.98390516284,0.4028695251380725,7604,55.00578703703704,9821,71.04311342592592,11273,81.54658564814815
19,13824,13824,360161,38856.85836226852,34877.27405806334,0.3817225901583588,7859,56.850405092592595,10030,72.55497685185185,11430,82.68229166666667
20,13824,13824,340619,38791.82190393518,35033.0333713156,0.38238393412880595,7860,56.857638888888886,10027,72.53327546296296,11418,82.59548611111111
21,13824,13824,350818,38802.428385416664,31207.71311458728,0.34457374254665724,8200,59.317129629629626,10279,74.35619212962963,11592,83.85416666666667
22,13824,13824,344751,38776.46477141204,28323.982974389055,0.30948969946294186,8532,61.71875,10526,76.14293981481481,11762,85.08391203703704
23,13824,13824,356372,38782.037398726854,23109.789556694825,0.2635486982408416,8914,64.48206018518519,10838,78.39988425925925,12003,86.82725694444444
24,13824,13824,302794,38775.907118055555,19688.844548070218,0.23176381675599214,9189,66.47135416666667,11057,79.98408564814815,12159,87.95572916666667
25,13824,13824,326476,38775.98451967593,17755.551019705355,0.21950063033614664,9270,67.05729166666667,11111,80.37471064814815,12195,88.21614583333333
26,13824,13824,318008,38774.33781828704,17177.285588620394,0.20785998108340656,9375,67.81684027777777,11194,80.97511574074075,12258,88.671875
27,13824,13824,281802,38773.81691261574,15103.725548016413,0.19450894903589797,9480,68.57638888888889,11273,81.54658564814815,12311,89.05526620370371
28,13824,13824,356301,38774.46889467593,15391.265578990564,0.18740069606451445,9568,69.21296296296296,11348,82.08912037037037,12366,89.453125
29,13824,13824,280272,38775.218098958336,14848.247450259674,0.1847481494317254,9578,69.28530092592592,11344,82.06018518518519,12349,89.33015046296296
30,13824,13824,287555,38775.62774884259,15588.383266054918,0.18820886729773442,9545,69.04658564814815,11298,81.72743055555556,12298,88.96122685185185
31,13824,13824,291686,38775.78725405093,14943.629315720924,0.1850169916047364,9558,69.140625,11291,81.67679398148148,12274,88.78761574074075
32,13824,13824,269426,38775.864149305555,15520.148250710152,0.1899086927323547,9505,68.75723379629629,11242,81.32233796296296,12231,88.4765625
33,13824,13824,322420,38775.84924768518,16925.590023189434,0.19785600789932414,9471,68.51128472222223,11208,81.07638888888889,12193,88.20167824074075
34,13824,13824,339287,38775.785445601854,17705.476241798828,0.2055502192200199,9425,68.1785300925926,11185,80.91001157407408,12189,88.17274305555556
35,13824,13824,345111,38775.32581018518,21004.81257904134,0.2243684080053117,9323,67.44068287037037,11130,80.51215277777777,12164,87.99189814814815
36,13824,13824,343407,38775.39684606482,23917.48897399956,0.2506177216673656,9120,65.97222222222223,10967,79.33304398148148,12037,87.07320601851852
37,13824,13823,377122,38775.27712673611,27316.13658549232,0.28089674828857597,8930,64.59780092592592,10850,78.48668981481481,11964,86.54513888888889
38,13824,13823,358935,38774.77944155093,31518.785538224343,0.3297868964324235,8468,61.25578703703704,10441,75.52806712962963,11610,83.984375
39,13824,13817,386655,38775.466796875,40273.19987129015,0.40459710547383465,7825,56.60445601851852,10039,72.62008101851852,11370,82.24826388888889
